Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
   ib0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
    lo: 3199009    4989    0    0    0     0          0         0  3199009    4989    0    0    0     0       0          0
virbr0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
   ib1:  139053    1905    0    0    0     0          0      1901   151094    1963    0    0    0     0       0          0
virbr0-nic:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
macvtap1: 23056152141 183237546 3753 7506    0     0          0 149946879 3211299585 41922626    0    0    0     0       0          0
bridge0:       0       0    0    0    0     0          0         0      633       7    0    0    0     0       0          0
macvtap2: 67166691282 275732876 3760 7520    0     0          0 149766519 52855041279 133268761    0    0    0     0       0          0
enp0s31f6: 81004123205 334882796  227 39193395    0   141          0  31360963 63151458742 190517641    0    0    0     0       0          0
macvtap0: 17107183736 158306048 3771 7542    0     0          0 153172181 5767752540 13723950    0    0    0     0       0          0
